Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,21647,0,510,658.8784960963867,3.465800022240728,19870.059499982744,2621.0,363.7698809475273,0.0,510,840,940,1100,1200,1300,1400,5000,18000,19000,20000
GET,/healthz,6604,0,280,418.67684656310263,1.258400036022067,19385.95450000139,48.0,110.97779340220217,0.0,280,430,500,550,650,700,750,5500,18000,19000,19000
GET,/login,2088,0,290,403.80296451197955,2.0226999768055975,19386.523699969985,2621.0,35.08807277767991,0.0,290,440,510,550,660,710,760,3100,19000,19000,19000
GET,/static/out/vs/code/browser/workbench/workbench.css,4335,4335,280,415.1182503576579,1.4539000112563372,19647.06859999569,24.0,72.84808213182109,72.84808213182109,280,440,500,550,650,700,760,4800,18000,20000,20000
GET,/static/out/vs/code/browser/workbench/workbench.html,2197,2197,310,469.5093500224215,1.4859000220894814,18739.73659996409,24.0,36.91977772632316,36.91977772632316,310,460,530,590,670,720,780,7700,18000,19000,19000
GET,/static/out/vs/code/browser/workbench/workbench.js,4442,4442,290,391.1224515990015,1.431700016837567,18889.975300000515,24.0,74.6461778153516,74.6461778153516,290,440,500,550,650,700,750,3600,17000,19000,19000
GET,/static/out/vs/loader.js,4381,4381,290,396.60615439362675,1.3922000071033835,19243.211399996653,24.0,73.62109522941364,73.62109522941364,290,450,510,550,660,710,750,2500,17000,19000,19000
,Aggregated,45694,15355,350,529.1016859829114,1.258400036022067,19870.059499982744,1376.4377598809472,767.8708800303189,258.0351329029095,350,540,670,730,1100,1300,1400,4700,18000,19000,20000
